lat,lon,alt,date,device,os,version
53.5687561035,-1.80253386497,228.995849609,2013-01-19 16:14:56,"iPhone3,1",6.0.1,1.1
53.5653305054,-1.77510905266,228.18548584,2013-01-19 16:27:44,"iPhone3,1",6.0.1,1.1
53.5692520142,-1.80525052547,229.957946777,2013-01-19 16:42:40,"iPhone3,1",6.0.1,1.1
53.5656700134,-1.77800142765,228.875946045,2013-01-19 16:59:44,"iPhone3,1",6.0.1,1.1
53.5690574646,-1.80492138863,228.988037109,2013-01-19 17:21:04,"iPhone3,1",6.0.1,1.1
53.5650672913,-1.77319025993,228.999984741,2013-01-19 18:25:04,"iPhone3,1",6.0.1,1.1
53.5692253113,-1.80457782745,230.478057861,2013-01-19 18:48:32,"iPhone3,1",6.0.1,1.1
53.5660247803,-1.78048193455,252.182342529,2013-01-19 19:29:04,"iPhone3,1",6.0.1,1.1
53.5690193176,-1.80498218536,243.651809692,2013-01-19 19:44:00,"iPhone3,1",6.0.1,1.1
53.5649833679,-1.7725764513,240.394927979,2013-01-19 19:52:32,"iPhone3,1",6.0.1,1.1
53.5690078735,-1.80490005016,200.995040894,2013-01-19 19:58:56,"iPhone3,1",6.0.1,1.1
53.564994812,-1.77266919613,194.170440674,2013-01-19 21:05:04,"iPhone3,1",6.0.1,1.1
53.5682144165,-1.79852485657,193.875595093,2013-01-19 21:17:52,"iPhone3,1",6.0.1,1.1
53.5648803711,-1.77172791958,193.643829346,2013-01-19 21:43:28,"iPhone3,1",6.0.1,1.1
53.5605354309,-1.81518673897,193.266998291,2013-01-19 21:54:08,"iPhone3,1",6.0.1,1.1
53.5689582825,-1.8049030304,264.773895264,2013-01-19 22:04:48,"iPhone3,1",6.0.1,1.1
53.5652122498,-1.77449059486,267.232452393,2013-01-19 22:24:00,"iPhone3,1",6.0.1,1.1
53.5689849854,-1.80534100533,221.811904907,2013-01-19 22:36:48,"iPhone3,1",6.0.1,1.1
53.564956665,-1.77230679989,224.818572998,2013-01-19 22:56:00,"iPhone3,1",6.0.1,1.1
53.5691261292,-1.80519413948,269.69329834,2013-01-19 23:02:24,"iPhone3,1",6.0.1,1.1
